n,epsilon,delta,m,resolution,repeats,raw_pair_separation_mean,raw_pair_separation_se,outer_fold_transformed_pair_separation_mean_mean,outer_fold_transformed_pair_separation_mean_se,clr_ridge_fixed_mae_mean,clr_ridge_fixed_mae_se,nn_fixed_mae_mean,nn_fixed_mae_se,pair_clr_ridge_mae_mean,pair_clr_ridge_mae_se,pair_nn_mae_mean,pair_nn_mae_se,equal_prediction_pair_floor_mean,equal_prediction_pair_floor_se,shared_contrast_clr_mae_mean,shared_contrast_clr_mae_se,shared_contrast_nn_mae_mean,shared_contrast_nn_mae_se,fine_contrast_clr_mae_mean,fine_contrast_clr_mae_se,naive_selected_mae_mean,naive_selected_mae_se,nested_selected_mae_mean,nested_selected_mae_se,selection_optimism_mean,selection_optimism_se,nested_selected_candidate_mean_mean,nested_selected_candidate_mean_se,all_simplex_ok,all_nested_outer_fold_isolation,all_nested_inner_fold_isolation
6,0.05,1.2,5,full_k3,200,0.04999999999999999,0.0,0.12717183543511443,0.006406993852350945,0.08872387708473223,0.0004094414290270557,0.15209394511124075,0.0017960905160797054,0.2045468794405305,0.0011492703495664123,0.2711481593758018,0.003280949633397883,0.1490324740473163,1.967540588810701e-18,0.04541968965200832,0.0009102777371199824,0.06439999083547647,0.002010078762008538,0.1988564684737212,0.0011675776879387064,0.08859182807679247,0.00041410467090525864,0.09682547127948338,0.001306495558761306,0.008233643202690934,0.0013255800542053373,0.19416666666666665,0.028300490867849814,True,True,True
6,0.05,1.2,5,pooled_k2,200,0.04999999999999999,0.0,0.12717183543511443,0.006406993852350945,0.047459851517521974,0.0009718406859173672,0.06439999083547647,0.0020100787620085385,0.04438952802477264,0.001074307062823981,0.020860572869496146,0.0002864207170173963,0.009787998659893785,0.0,0.04745985151752199,0.0009718406859173672,0.06439999083547647,0.002010078762008538,,,0.04733151560162376,0.0009685250460000547,0.055916885768706875,0.0021094218557793885,0.008585370167083113,0.0017694413883796837,0.10416666666666666,0.02088352413082707,True,True,True
6,0.05,1.2,20,full_k3,200,0.04999999999999999,0.0,0.12717183543511443,0.006406993852350945,0.08872387708473223,0.0004094414290270557,0.15209394511124075,0.0017960905160797054,0.2045468794405305,0.0011492703495664123,0.2711481593758018,0.003280949633397883,0.1490324740473163,1.967540588810701e-18,0.04541968965200832,0.0009102777371199824,0.06439999083547647,0.002010078762008538,0.1988564684737212,0.0011675776879387064,0.0881896296187668,0.0004470760227123712,0.11352198282080506,0.0018706170857534755,0.02533235320203829,0.0019248534263472112,2.6166666666666663,0.22423951759379507,True,True,True
6,0.05,1.2,20,pooled_k2,200,0.04999999999999999,0.0,0.12717183543511443,0.006406993852350945,0.047459851517521974,0.0009718406859173672,0.06439999083547647,0.0020100787620085385,0.04438952802477264,0.001074307062823981,0.020860572869496146,0.0002864207170173963,0.009787998659893785,0.0,0.04745985151752199,0.0009718406859173672,0.06439999083547647,0.002010078762008538,,,0.046313673715828375,0.0009696905245779883,0.08997341270203706,0.003915806792154475,0.0436597389862087,0.0035286966539530315,2.4316666666666666,0.17850419967627057,True,True,True
6,0.2,0.0,1,full_k3,200,0.2,0.0,0.5211592193474514,0.015504310814399576,0.022681889066270743,0.0004606393516832146,0.04838857748726383,0.0012493741887159011,0.017634230963903774,0.0005606178591129569,0.04518184178989211,0.0012366763073137815,0.03362224128386448,0.0,0.03402283359940611,0.0006909590275248218,0.07258286623089574,0.0018740612830738515,0.0,0.0,0.022681889066270743,0.0004606393516832146,0.022681889066270743,0.0004606393516832147,1.0842021724855044e-19,6.63502101803153e-19,0.0,0.0,True,True,True
6,0.2,0.0,1,pooled_k2,200,0.2,0.0,0.5211592193474514,0.015504310814399576,0.03402283359940611,0.000690959027524822,0.07258286623089576,0.0018740612830738517,0.02645134644585567,0.0008409267886694353,0.06777276268483816,0.0018550144609706725,0.05043336192579671,0.0,0.0340228335994061,0.0006909590275248218,0.07258286623089574,0.0018740612830738515,,,0.03402283359940611,0.000690959027524822,0.03402283359940611,0.000690959027524822,-5.637851296924623e-19,1.2884983715376746e-18,0.0,0.0,True,True,True
6,0.2,0.0,5,full_k3,200,0.2,0.0,0.5211592193474514,0.015504310814399576,0.022681889066270743,0.0004606393516832146,0.04838857748726383,0.0012493741887159011,0.017634230963903774,0.0005606178591129569,0.04518184178989211,0.0012366763073137815,0.03362224128386448,0.0,0.03402283359940611,0.0006909590275248218,0.07258286623089574,0.0018740612830738515,0.0,0.0,0.022681889066270743,0.0004606393516832146,0.02367232535569187,0.0006833599181365822,0.0009904362894211283,0.0004497082776728354,0.014166666666666668,0.005998499253966154,True,True,True
6,0.2,0.0,5,pooled_k2,200,0.2,0.0,0.5211592193474514,0.015504310814399576,0.03402283359940611,0.000690959027524822,0.07258286623089576,0.0018740612830738517,0.02645134644585567,0.0008409267886694353,0.06777276268483816,0.0018550144609706725,0.05043336192579671,0.0,0.0340228335994061,0.0006909590275248218,0.07258286623089574,0.0018740612830738515,,,0.03402283359940611,0.000690959027524822,0.0355084880335378,0.0010250398772048734,0.0014856544341316916,0.0006745624165092531,0.014166666666666668,0.005998499253966154,True,True,True
6,0.2,0.0,20,full_k3,200,0.2,0.0,0.5211592193474514,0.015504310814399576,0.022681889066270743,0.0004606393516832146,0.04838857748726383,0.0012493741887159011,0.017634230963903774,0.0005606178591129569,0.04518184178989211,0.0012366763073137815,0.03362224128386448,0.0,0.03402283359940611,0.0006909590275248218,0.07258286623089574,0.0018740612830738515,0.0,0.0,0.02267917062233461,0.0004607038681715333,0.024971872811858482,0.0008838101643783981,0.0022927021895238708,0.0006730618276561423,0.14,0.03861866714042523,True,True,True
6,0.2,0.0,20,pooled_k2,200,0.2,0.0,0.5211592193474514,0.015504310814399576,0.03402283359940611,0.000690959027524822,0.07258286623089576,0.0018740612830738517,0.02645134644585567,0.0008409267886694353,0.06777276268483816,0.0018550144609706725,0.05043336192579671,0.0,0.0340228335994061,0.0006909590275248218,0.07258286623089574,0.0018740612830738515,,,0.03401875593350192,0.0006910558022573,0.03745780921778772,0.0013257152465675972,0.0034390532842858063,0.0010095927414842136,0.14,0.03861866714042523,True,True,True
6,0.2,0.6,1,full_k3,200,0.2,0.0,0.5142190910190263,0.013823927261029906,0.055868460997823666,0.000386680608621984,0.08764015396422188,0.0013377699291117844,0.10191189329512242,0.000861121750013608,0.12567631539734198,0.0025179724646203394,0.08982777057257295,1.967540588810701e-18,0.036236656396726505,0.0007035781879150873,0.07250338745776191,0.0018858837200920304,0.11581591525808124,0.00117713281738217,0.055868460997823666,0.000386680608621984,0.055868460997823666,0.0003866806086219839,2.7755575615628914e-19,8.531619907727468e-19,0.0,0.0,True,True,True
6,0.2,0.6,1,pooled_k2,200,0.2,0.0,0.5142190910190263,0.013823927261029906,0.036382910807130873,0.0007351577595319276,0.07250338745776191,0.0018858837200920301,0.027630780238208003,0.0008703511608574436,0.0675443707670546,0.001814815104880124,0.049320126118015076,0.0,0.03638291080713086,0.0007351577595319279,0.07250338745776191,0.0018858837200920304,,,0.036382910807130873,0.0007351577595319276,0.036382910807130873,0.0007351577595319279,7.806255641895632e-19,1.2892499958044293e-18,0.0,0.0,True,True,True
6,0.2,0.6,5,full_k3,200,0.2,0.0,0.5142190910190263,0.013823927261029906,0.055868460997823666,0.000386680608621984,0.08764015396422188,0.0013377699291117844,0.10191189329512242,0.000861121750013608,0.12567631539734198,0.0025179724646203394,0.08982777057257295,1.967540588810701e-18,0.036236656396726505,0.0007035781879150873,0.07250338745776191,0.0018858837200920304,0.11581591525808124,0.00117713281738217,0.05578209038076407,0.0003744718634974521,0.06350175971223496,0.0012065392385209078,0.00771966933147088,0.0011535586575790971,0.15833333333333333,0.02403207190773761,True,True,True
6,0.2,0.6,5,pooled_k2,200,0.2,0.0,0.5142190910190263,0.013823927261029906,0.036382910807130873,0.0007351577595319276,0.07250338745776191,0.0018858837200920301,0.027630780238208003,0.0008703511608574436,0.0675443707670546,0.001814815104880124,0.049320126118015076,0.0,0.03638291080713086,0.0007351577595319279,0.07250338745776191,0.0018858837200920304,,,0.03638173817122214,0.0007350384405595487,0.0382906558092168,0.0010626723758992236,0.0019089176379946593,0.0006858611361829721,0.03,0.008500008210985623,True,True,True
6,0.2,0.6,20,full_k3,200,0.2,0.0,0.5142190910190263,0.013823927261029906,0.055868460997823666,0.000386680608621984,0.08764015396422188,0.0013377699291117844,0.10191189329512242,0.000861121750013608,0.12567631539734198,0.0025179724646203394,0.08982777057257295,1.967540588810701e-18,0.036236656396726505,0.0007035781879150873,0.07250338745776191,0.0018858837200920304,0.11581591525808124,0.00117713281738217,0.05550168299323339,0.00035646737374314306,0.07747619483372023,0.0018905730590952196,0.02197451184048685,0.0018749405210358406,2.041666666666667,0.18156506002470724,True,True,True
6,0.2,0.6,20,pooled_k2,200,0.2,0.0,0.5142190910190263,0.013823927261029906,0.036382910807130873,0.0007351577595319276,0.07250338745776191,0.0018858837200920301,0.027630780238208003,0.0008703511608574436,0.0675443707670546,0.001814815104880124,0.049320126118015076,0.0,0.03638291080713086,0.0007351577595319279,0.07250338745776191,0.0018858837200920304,,,0.03637903340124184,0.0007349276521194269,0.04377547274364223,0.0017498443985901353,0.00739643934240039,0.0014354981919015635,0.5616666666666668,0.09904844592352773,True,True,True
6,0.2,1.2,1,full_k3,200,0.2,0.0,0.5027569155700522,0.016241291759902802,0.09190005555677082,0.0005326256032841886,0.1343577735085214,0.001723652276027151,0.19386092623284606,0.0012572419154792426,0.2209723552015082,0.004421905785103384,0.15463851897101846,1.967540588810701e-18,0.043973780651577296,0.0008459978174251448,0.07242031223034504,0.0020300660623195858,0.2202689828755735,0.0019022299879022744,0.09190005555677082,0.0005326256032841886,0.09190005555677082,0.0005326256032841887,-1.5959455978986626e-18,1.0041085618231923e-18,0.0,0.0,True,True,True
